comparison_id,method_A,method_B,axis,win_A,tie,win_B,n_queries
swaga_chunks_vs_bm25,swaga_chunks,bm25,relevance,0.2267,0.1133,0.6600,150
swaga_chunks_vs_bm25,swaga_chunks,bm25,cleanliness,0.6533,0.1333,0.2133,150
swaga_chunks_vs_bm25,swaga_chunks,bm25,sufficiency,0.2200,0.1200,0.6600,150
swaga_chunks_vs_bm25,swaga_chunks,bm25,overall,0.3667,0.1222,0.5111,
swaga_chunks_vs_bm25_heuristic,swaga_chunks,bm25_heuristic,relevance,0.2267,0.1067,0.6667,150
swaga_chunks_vs_bm25_heuristic,swaga_chunks,bm25_heuristic,cleanliness,0.5067,0.1333,0.3600,150
swaga_chunks_vs_bm25_heuristic,swaga_chunks,bm25_heuristic,sufficiency,0.2333,0.1067,0.6600,150
swaga_chunks_vs_bm25_heuristic,swaga_chunks,bm25_heuristic,overall,0.3222,0.1156,0.5622,
swaga_chunks_vs_dense,swaga_chunks,dense,relevance,0.2267,0.2133,0.5600,150
swaga_chunks_vs_dense,swaga_chunks,dense,cleanliness,0.8400,0.0467,0.1133,150
swaga_chunks_vs_dense,swaga_chunks,dense,sufficiency,0.2400,0.2000,0.5600,150
swaga_chunks_vs_dense,swaga_chunks,dense,overall,0.4356,0.1533,0.4111,
swaga_chunks_vs_dense_heuristic,swaga_chunks,dense_heuristic,relevance,0.1933,0.1400,0.6667,150
swaga_chunks_vs_dense_heuristic,swaga_chunks,dense_heuristic,cleanliness,0.5267,0.1667,0.3067,150
swaga_chunks_vs_dense_heuristic,swaga_chunks,dense_heuristic,sufficiency,0.2000,0.1267,0.6733,150
swaga_chunks_vs_dense_heuristic,swaga_chunks,dense_heuristic,overall,0.3067,0.1444,0.5489,
swaga_windows_vs_bm25,swaga_windows,bm25,relevance,0.6733,0.0933,0.2333,150
swaga_windows_vs_bm25,swaga_windows,bm25,cleanliness,0.8533,0.0200,0.1267,150
swaga_windows_vs_bm25,swaga_windows,bm25,sufficiency,0.6733,0.0933,0.2333,150
swaga_windows_vs_bm25,swaga_windows,bm25,overall,0.7333,0.0689,0.1978,
swaga_windows_vs_bm25_heuristic,swaga_windows,bm25_heuristic,relevance,0.6200,0.0933,0.2867,150
swaga_windows_vs_bm25_heuristic,swaga_windows,bm25_heuristic,cleanliness,0.8067,0.0467,0.1467,150
swaga_windows_vs_bm25_heuristic,swaga_windows,bm25_heuristic,sufficiency,0.6400,0.0800,0.2800,150
swaga_windows_vs_bm25_heuristic,swaga_windows,bm25_heuristic,overall,0.6889,0.0733,0.2378,
swaga_windows_vs_dense,swaga_windows,dense,relevance,0.7667,0.0467,0.1867,150
swaga_windows_vs_dense,swaga_windows,dense,cleanliness,0.9467,0.0200,0.0333,150
swaga_windows_vs_dense,swaga_windows,dense,sufficiency,0.7533,0.0600,0.1867,150
swaga_windows_vs_dense,swaga_windows,dense,overall,0.8222,0.0422,0.1356,
swaga_windows_vs_dense_heuristic,swaga_windows,dense_heuristic,relevance,0.6267,0.0800,0.2933,150
swaga_windows_vs_dense_heuristic,swaga_windows,dense_heuristic,cleanliness,0.8400,0.0600,0.1000,150
swaga_windows_vs_dense_heuristic,swaga_windows,dense_heuristic,sufficiency,0.6400,0.0733,0.2867,150
swaga_windows_vs_dense_heuristic,swaga_windows,dense_heuristic,overall,0.7022,0.0711,0.2267,
swaga_windows_vs_swaga_chunks,swaga_windows,swaga_chunks,relevance,0.8733,0.1267,0.0000,150
swaga_windows_vs_swaga_chunks,swaga_windows,swaga_chunks,cleanliness,0.9400,0.0533,0.0067,150
swaga_windows_vs_swaga_chunks,swaga_windows,swaga_chunks,sufficiency,0.8933,0.1067,0.0000,150
swaga_windows_vs_swaga_chunks,swaga_windows,swaga_chunks,overall,0.9022,0.0956,0.0022,
