method,queries_evaluated,Recall@5,Recall@10,MRR,nDCG@10,context_noise,avg_retrieved_nodes,missing_predictions
bm25f_m5,888,0.091355,0.10847,0.074511,0.07622,0.973701,8.709459,0
bm25f_m5,888,0.109237,0.115678,0.087864,0.200767,0.980614,8.709459,0
bm25f_m10,888,0.082788,0.103281,0.071087,0.07254,0.975206,8.55518,0
bm25f_m10,888,0.100744,0.109437,0.085339,0.182935,0.98138,8.55518,0
bm25f_m20,888,0.080097,0.099014,0.071378,0.070615,0.976064,8.397523,0
bm25f_m20,888,0.098211,0.106153,0.085873,0.176959,0.981926,8.397523,0
densef_m5,888,0.066916,0.087589,0.062527,0.062404,0.97862,8.635135,0
densef_m5,888,0.081553,0.091748,0.07267,0.152995,0.984558,8.635135,0
densef_m10,888,0.063144,0.081439,0.061641,0.05999,0.978894,7.953829,0
densef_m10,888,0.077518,0.08546,0.072302,0.147278,0.984391,7.953829,0
densef_m20,888,0.059645,0.07594,0.0588,0.056493,0.980056,7.282658,0
densef_m20,888,0.073483,0.080299,0.070295,0.137247,0.985153,7.282658,0
